"","x"
"1",14
"2",17
"3",22
"4",22
"5",20
"6",19
"7",14
"8",11
"9",6
"10",15
"11",15
"12",13
"13",19
"14",17
"15",16
"16",16
"17",14
"18",16
"19",17
"20",16
"21",10
"22",21
"23",15
"24",13
