"","x"
"1",0.428745715447627
"2",0.0335768866082882
"3",0.00786713286713287
"4",0
"5",0.000817438692098093
"6",0.118512336341349
"7",0.240691674801283
"8",0.0110457865668983
"9",0.00159865002886451
"10",0.0137045430020503
"11",0.250298787775312
"12",0.0113876389016439
"13",0
"14",0.00276006471875892
"15",0.0185329186106791
"16",0.0108036391205459
"17",0.302611367127496
"18",0.281381478570438
"19",0.000380493373073752
"20",0.000855066267635742
"21",0.429326671701621
"22",0.0266087941120966
"23",0.00305982768338836
"24",8.74202290410001e-05
"25",0.000188554728009805
"26",0.0661378019431322
"27",0.100242130750605
"28",0.00344994135099703
"29",0.00155122934925929
"30",0.0851337094628687
"31",0.299979974634537
"32",0.00353207120655552
"33",0
"34",0.00675425229603394
"35",0.0985079416011551
"36",0.00274983718069325
"37",0.234752267969295
"38",0.301413881748072
"39",0.000525320445471738
"40",0.000636971654761363
"41",0.0336884377265882
"42",0.0263257218343084
"43",0.0242101256185763
"44",0.00873103331355429
"45",0
"46",0.365984279174225
"47",0.15429871352369
"48",0.0366888026826221
"49",0.0133574824541544
"50",0.00248700981480659
"51",0.00471427661336561
"52",0.0372512103281334
"53",0
"54",0.0315237828539425
"55",0.002884367756889
"56",0.0315101479188167
"57",0.0787897888433659
"58",0.03396845228799
"59",0.0589307411907655
"60",0.0337519277373871
"61",0.00786713286713287
"62",0.00305982768338836
"63",0.0242101256185763
"64",0.000134980090436661
"65",0.00471327572663001
"66",0.0300479933226682
"67",0.0356480650756624
"68",0.448383084577114
"69",0.0019181946403385
"70",0.000291120815138282
"71",0.00289017341040462
"72",0.482034454470878
"73",0
"74",0.0136868064118372
"75",0
"76",0.500868357068427
"77",0.00759267530147387
"78",0.00487080487080487
"79",0.0069248291571754
"80",0.00675384394309527
"81",0
"82",8.74202290410001e-05
"83",0.00881580062727812
"84",0.000134980090436661
"85",0
"86",0.00869705266548559
"87",0.00139818971226728
"88",0
"89",0.0114958841896111
"90",0.000165296086615149
"91",0.00771045514701651
"92",0
"93",0.00394446197538656
"94",0.0290865474717943
"95",0.000189600417120918
"96",0.000123327372510329
"97",0.0133093374628552
"98",0.00813365574851616
"99",0.148642343939535
"100",0.190589490093121
"101",0.000817438692098093
"102",0.000188554728009805
"103",0
"104",0.00471327572663001
"105",0
"106",0.00286510147234381
"107",0.000939156101160529
"108",0.00303030303030303
"109",0.000125683403506567
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0.000506842372022301
"117",0.00309757356737222
"118",0
"119",0
"120",0
"121",0.118512336341349
"122",0.0660486674391657
"123",0.365984279174225
"124",0.0301871044028657
"125",0.00869705266548559
"126",0.00286510147234381
"127",0.336225596529284
"128",0.0731870403015014
"129",0.00720876585928489
"130",0.00563996801212172
"131",0.0325875199244347
"132",0.0662777708824625
"133",0
"134",0.00785090895232288
"135",0.00677736360555744
"136",0.0476643214806364
"137",0.0728265040719737
"138",0.0406643330602517
"139",0.00114318376679051
"140",0.00192171115845762
"141",0.2405987077581
"142",0.100242130750605
"143",0.15429871352369
"144",0.0356480650756624
"145",0.00139818971226728
"146",0.000939156101160529
"147",0.336150796619044
"148",0.0623636460384186
"149",0.008907797646746
"150",0.00628328416535765
"151",0.0362014418339298
"152",0.0606848721283052
"153",0
"154",0.00286903887197789
"155",0.00600026088090787
"156",0.057177548429825
"157",0.135530141500291
"158",0.16872174270448
"159",0.00154268083647583
"160",0.00220708550553674
"161",0.0110457865668983
"162",0.00344994135099703
"163",0.0368203037675061
"164",0.450248756218905
"165",0
"166",0.00303030303030303
"167",0.0731870403015014
"168",0.0622572234342574
"169",0.00181827365018435
"170",0.00025294043252814
"171",0.00111185234600845
"172",0.611825192802057
"173",0
"174",0.011479173499508
"175",0.000471994965387036
"176",0.628447395301328
"177",0.0194738199638896
"178",0.00708657253159871
"179",0.00766342248448157
"180",0.00500250125062531
"181",0.00159865002886451
"182",0.00155122934925929
"183",0.0134329484567202
"184",0.0019181946403385
"185",0.0115668464376951
"186",0.000125683403506567
"187",0.00720876585928489
"188",0.008907797646746
"189",0.00181827365018435
"190",0.00059025344007083
"191",0.00433775324099177
"192",0.00133593669715343
"193",0.000898357289527721
"194",0.386521107243046
"195",0.000166631951676734
"196",0.00230065359477124
"197",0.0282825267713891
"198",0.0186080392027018
"199",0.00632651384438419
"200",0.00740333516584204
"201",0.0137045430020503
"202",0.0852254483739278
"203",0.00248700981480659
"204",0.000291120815138282
"205",0.000165296086615149
"206",0
"207",0.00563996801212172
"208",0.00628328416535765
"209",0.00025294043252814
"210",0.00059025344007083
"211",0.0723837565942829
"212",0.000258448019642049
"213",0
"214",0.0012499023513788
"215",0.57032967032967
"216",0.000396301188903567
"217",0.00648667601683029
"218",0.0119006751344547
"219",0.000196492606965663
"220",8.58369098712446e-05
"221",0.250469523646918
"222",0.299846472198118
"223",0.00471427661336561
"224",0.00289017341040462
"225",0.00771045514701651
"226",0
"227",0.0324694492000708
"228",0.0362014418339298
"229",0.00111185234600845
"230",0.00433775324099177
"231",0.0725064409274936
"232",0.000693080743906665
"233",0.00334798074911069
"234",0.00223618358002343
"235",0.0936363636363636
"236",0.000961538461538462
"237",0.0905226306576644
"238",0.0590813012321493
"239",0.00118194577823742
"240",0.00133495145631068
"241",0.0112039673064561
"242",0.00353207120655552
"243",0.0372512103281334
"244",0.481706316652994
"245",0
"246",0
"247",0.0660295395308427
"248",0.0603597745990464
"249",0.612314848818705
"250",0.00133593669715343
"251",0.000258448019642049
"252",0.000693080743906665
"253",0
"254",0.0145904104249039
"255",0.000323232323232323
"256",0.617745163442295
"257",0.0181926043108562
"258",0.00624596166271807
"259",0.0141598489616111
"260",0.00792079207920792
"261",0
"262",0
"263",0
"264",0
"265",0.00394446197538656
"266",0
"267",0
"268",0
"269",0
"270",0.000898357289527721
"271",0
"272",0.00334798074911069
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0.00158478605388273
"280",0.00169822535450454
"281",0.00276006471875892
"282",0.00675425229603394
"283",0.0316037924550946
"284",0.0136868064118372
"285",0.0290865474717943
"286",0
"287",0.00785090895232288
"288",0.00286903887197789
"289",0.011479173499508
"290",0.386521107243046
"291",0.0012499023513788
"292",0.00223618358002343
"293",0.01470178760372
"294",0
"295",0.000533333333333333
"296",0.0094211123723042
"297",0.0183428209993675
"298",0.0462069205840332
"299",0.00867014056136971
"300",0.0109387121799845
"301",0.0186625194401244
"302",0.0984009840098401
"303",0.002884367756889
"304",0
"305",0.000189600417120918
"306",0
"307",0.00677736360555744
"308",0.00600026088090787
"309",0.000471994965387036
