"","x"
"1",0.000123548307388189
"2",0.327776307665167
"3",0
"4",0.00399785480961435
"5",0.0101651842439644
"6",0.306222392932591
"7",0.0105592841163311
"8",0.000599250936329588
"9",0.138471940500338
"10",0
"11",0.0957720399135891
"12",0
"13",0.133002891367204
"14",0.396558583648299
"15",0.196082206285797
"16",0
"17",0.0169910410874266
"18",0
"19",0.225787142344068
"20",0.0103539474424624
"21",0
"22",0
"23",0.000123548307388189
"24",0
"25",0
"26",0.00128923089319528
"27",0
"28",0.000238682472750418
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0.000168933186924571
"36",0.000163813580145794
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0.328129134691717
"46",0
"47",0
"48",0.00420630946419629
"49",0.00458575359217365
"50",0.0497855769704737
"51",0.0960154064835618
"52",0.0117378545810238
"53",0.272541581558214
"54",0
"55",0.0805248399555579
"56",0
"57",0.0202900090295852
"58",0.23774722747483
"59",0.319727218817948
"60",0
"61",0.0677566155401989
"62",0
"63",0.40757808499744
"64",0.12617527568195
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0.000171122994652406
"77",0
"78",0.000669312042835971
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0.000348523133222968
"85",0
"86",0
"87",0
"88",0.000476928579945153
"89",0.00399785480961435
"90",0.00128923089319528
"91",0.00420630946419629
"92",0
"93",0.0858997200305421
"94",0.0116764536166457
"95",0.000968272923861472
"96",0
"97",0.00137259795358123
"98",0
"99",0.157720391807658
"100",0
"101",0.0412842398485768
"102",0.0109947461814133
"103",0.00374022441346481
"104",0
"105",0
"106",0
"107",0.00353232073472271
"108",0.00227238297227693
"109",0
"110",0
"111",0.0104475504729634
"112",0
"113",0.00458575359217365
"114",0
"115",0.0860269788750318
"116",0.00486496600760931
"117",0.000113927655938479
"118",0.00106382978723404
"119",0.00846153846153846
"120",0
"121",0.0591247354407046
"122",0
"123",0.0177039731009401
"124",0.0117547182132828
"125",0.00112626705043174
"126",0
"127",0.00238237045860631
"128",0
"129",0.0118043844856661
"130",0
"131",0
"132",0
"133",0.306702515844056
"134",0.000238682472750418
"135",0.0495884063686104
"136",0
"137",0.0116764536166457
"138",0.00486496600760931
"139",0.0068370607028754
"140",0.001792
"141",0.0117467115325788
"142",0
"143",0.086996336996337
"144",0
"145",0.416766720813617
"146",0.488333677472641
"147",0.0637804016550611
"148",0
"149",0.00129668049792531
"150",0
"151",0.0277408541871352
"152",0.00621234235245687
"153",0
"154",0
"155",0.0105592841163311
"156",0
"157",0.095740290705672
"158",0
"159",0.000968272923861472
"160",0.000113927655938479
"161",0.0068370607028754
"162",0.0678835947979238
"163",0.0347008451334863
"164",0
"165",0.00655211606605603
"166",0
"167",0.00958445040214477
"168",0.0213211249182472
"169",0.267272552721687
"170",0
"171",0.0461465832644872
"172",0
"173",0.0420717131474104
"174",0.576142761038133
"175",0
"176",0
"177",0.000599250936329588
"178",0
"179",0.0120639060971634
"180",0
"181",0
"182",0.00106382978723404
"183",0.001792
"184",0.0676503178398554
"185",0.0456204379562044
"186",0
"187",0.000140459301917269
"188",0
"189",0
"190",0.0014760147601476
"191",0.0088609220495698
"192",0
"193",0.519276160503541
"194",0
"195",0.0177777777777778
"196",0.060471037555697
"197",0
"198",0
"199",0.139012846517918
"200",0
"201",0.273125182375255
"202",0
"203",0.00137259795358123
"204",0.00846153846153846
"205",0.0116243499541144
"206",0.0349247215537024
"207",0.0456204379562044
"208",0
"209",0.0185841299552109
"210",0
"211",0.00268726906281491
"212",0.085632
"213",0.0963544863139806
"214",0
"215",0.29633350075339
"216",0
"217",0.417571059431525
"218",0.026791089704997
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0.000171122994652406
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0.026279470960322
"237",0
"238",0.000396542152430803
"239",0
"240",0
"241",0
"242",9.03832248734635e-05
"243",0.0960806501388746
"244",0
"245",0.0802073964340511
"246",0
"247",0.157577916295637
"248",0.0591247354407046
"249",0.0870667793744717
"250",0.00655211606605603
"251",0.000140459301917269
"252",0.0185841299552109
"253",0
"254",0
"255",0.198128620228724
"256",0.161679676206996
"257",0.0863060583606789
"258",0
"259",0.00242199743553213
"260",0
"261",0.0539046302695231
"262",0.00978882968225775
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0.000669312042835971
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0.132899628252788
"288",0.000168933186924571
"289",0.0201837786158177
"290",0
"291",0.0412842398485768
"292",0.0177039731009401
"293",0.417402358923653
"294",0.00958445040214477
"295",0
"296",0.00268726906281491
"297",0
"298",0.198648447942967
"299",0
"300",0.197840423219074
"301",0.0824282732514947
"302",0
"303",0.000716127184187912
"304",0
"305",0.00643817458814618
"306",0.0154388187324334
"307",0
"308",0
"309",0.396160732046946
"310",0.000163813580145794
"311",0.237849440384321
"312",0
"313",0.0109947461814133
"314",0.0117547182132828
"315",0.487576570995939
"316",0.0213211249182472
"317",0.0014760147601476
"318",0.085376
