"","x"
"1",15
"2",5
"3",14
"4",4
"5",13
"6",10
"7",15
"8",13
"9",10
"10",14
"11",3
"12",14
"13",1
"14",13
"15",14
"16",14
"17",3
"18",11
"19",4
"20",14
"21",13
"22",0
"23",3
